blockchain,project,version,block_date,tx_hash,evt_index,sub_idx,nft_contract_address,token_id,buyer,seller,amount_raw,platform_fee_amount_raw,royalty_fee_amount_raw
ethereum,opensea,v4,2023-03-05,0xff0be907571ddf73d40de143a111f2cfaaec0fa57eedb8672f16f49711e31188,51,1,0x5f076e995290f3f9aea85fdd06d8fae118f2b75c,2463,0xcf1319531bee286e85c289b9747e159e742c0495,0x52b1180367d47f64a7de5535abe78c8e16f735ef,500000000000000000,,25000000000000000
ethereum,opensea,v4,2023-03-05,0xff5ed04bf03a8162c784a2c3ae8fec9a687b5c0857bd6c8abcdef9af1c6da211,229,1,0xd1466d7a2e13a47677608f68093c5ea9fe910611,4144,0xa2bd9bafe5dd685f8ca1a729d368be40496e6304,0x7510396b6801c6a88c383baed7058dc553ab980e,7000000000000000,,35000000000000
ethereum,opensea,v4,2023-03-05,0xff5ed04bf03a8162c784a2c3ae8fec9a687b5c0857bd6c8abcdef9af1c6da211,228,1,0xd1466d7a2e13a47677608f68093c5ea9fe910611,24548,0xa2bd9bafe5dd685f8ca1a729d368be40496e6304,0x17ce24a23b708a6056d2b52ea4f59123e3ca5281,7000000000000000,,35000000000000
ethereum,opensea,v4,2023-03-05,0xffa9e33956c304a314cf1ea8dd609755a9f26895032c49e780c9176113ed9517,245,1,0xd32abb10c0a8fb6147152542088e0fce4aeb7f4f,9041,0x86bdb768bbfe8de39c658346db93bb952cd9e526,0x96b9042d68be24547e334c816690c8d0065d70b0,23000000000000000,,1725000000000000
ethereum,opensea,v4,2023-03-04,0xffc51c85163e2a024c3fe784d3321552e94cf5c6e5fed97bef8080c5d9851b5b,107,1,0xe2e27b49e405f6c25796167b2500c195f972ebac,3780,0x9db0a2ce0d7e643950a3bd51e02fdc7eaf640234,0x6922406d81bb47c3dac75122929eb2c537eb878a,239900000000000000,,1199500000000000
ethereum,opensea,v4,2023-03-04,0xff762b16ae398dc89a68e48726e129d9e7cc16dbd0a726126f9db044f7c905ce,202,1,0x7de3e2f540cf5c3065de34ac16a39deb08fcdcf3,2774,0x167ade962cb60346d2525e6a724b3c8e52e73c34,0x9ad35828f52866370938d4db1601e9b7bb23ef1c,15000000000000000,,999000000000000
ethereum,opensea,v4,2023-03-04,0xffb6664a935384a81aa04c4772a3fa6a2e553bcc985ec1a3a73942bf9961f135,296,1,0xe70659b717112ac4e14284d0db2f5d5703df8e43,2,0xa817b9bd1ece360e4a1692894a5ad1d40b889f20,0x9d8945e2c08751ce18bab505a57073c8de16cd11,208024000000000000,,1040120000000000
ethereum,opensea,v4,2023-03-23,0x82691542b8a1ded1c293fb3cccaf0975cdef43e9add82c7ceb8c063cc2cd2602,216,1,0xea917326e8a95299c02655fe947962c43a11487f,3625,0x45c2188ec89cce1f0d08b41ffe6c7efb7e72479f,0x7dc6b875d1ebd51bb1871f826e286e9ad8a0371b,20000000000000000,,298000000000000
ethereum,opensea,v4,2023-03-23,0xdb4b4534714949ae70ec134efefefa6a484533ced2bab7827109c93cde9de2c6,293,1,0xb0ceae21d27efbd4569626f49e5316bf89e78c38,413,0x55360022eb99dc1f2fda1fcdbabbfb2f5382f0f2,0x18c43569593a10c124fb738c00c33b75748b971e,2000000000000000,10000000000000,50000000000000
ethereum,opensea,v4,2023-03-23,0xdb4b4534714949ae70ec134efefefa6a484533ced2bab7827109c93cde9de2c6,294,1,0xb0ceae21d27efbd4569626f49e5316bf89e78c38,537,0x55360022eb99dc1f2fda1fcdbabbfb2f5382f0f2,0x2c0bd965de00a507f4625ceb43c36adce38a9739,2500000000000000,12500000000000,62500000000000
ethereum,opensea,v4,2023-03-23,0xe248d2eedf3ced8daf1cc2c693c4704273a8fadc74567f70689df2153d3bbe5d,138,1,0x05327e6e27f251d2f2cfdbc37b9f289cf9f21529,8667,0xb199a4fffcb8219025f2b9492a37a7bdb89e0b00,0xe02cfc16c8e64548bbcf955c6fa85635e97f4c14,20000000000000000,100000000000000,1000000000000000
ethereum,opensea,v4,2023-03-23,0x5d2a6f5a89e7dd554f6904c5e5c9119cf7d96c1bf9c1bf04d8cb9cba8cd72284,252,1,0xbe84a4f409e5b8932cd13f89c4c34f6c43308855,350,0x7e1876cd27d2c9e6aa2f49610330b9e25d690380,0x622ff61c8eee4cdc46b814d31903fe34c09abfbf,65000000000000000,325000000000000,4875000000000000
ethereum,opensea,v4,2023-03-23,0xf54b4b2e6ecfdf90919987cf9d7defa20458487874b64e8a97b6ae8af83b58ad,148,1,0x99a9b7c1116f9ceeb1652de04d5969cce509b069,417000217,0x12bd6121197848f93f40bd82d4c80db4e3198990,0xdbcc6698d4686ee3fba49c2245072460594efe6e,156000000000000000,780000000000000,780000000000000
ethereum,opensea,v4,2023-03-23,0x469560b0766af11237275669d6e06d207ea0754edad8a57396ee6168a4a01f67,228,1,0x16039f39bfac528c81148f905ce1cc3d21318b0f,3492,0x571909d4c525d898814b40652a0643b8f0ad0302,0x44725f3c536fe700d5a501051f99abb4a220ceb6,3900000000000000,19500000000000,195000000000000
